root_r.x,root_r.y,root_r.z,hand_r.x,hand_r.y,hand_r.z,finger_thumb_0_r.x,finger_thumb_0_r.y,finger_thumb_0_r.z,finger_thumb_1_r.x,finger_thumb_1_r.y,finger_thumb_1_r.z,finger_thumb_2_r.x,finger_thumb_2_r.y,finger_thumb_2_r.z,finger_index_0_r.x,finger_index_0_r.y,finger_index_0_r.z,finger_index_1_r.x,finger_index_1_r.y,finger_index_1_r.z,finger_index_2_r.x,finger_index_2_r.y,finger_index_2_r.z,finger_middle_0_r.x,finger_middle_0_r.y,finger_middle_0_r.z,finger_middle_1_r.x,finger_middle_1_r.y,finger_middle_1_r.z,finger_middle_2_r.x,finger_middle_2_r.y,finger_middle_2_r.z,finger_ring_0_r.x,finger_ring_0_r.y,finger_ring_0_r.z,finger_ring_1_r.x,finger_ring_1_r.y,finger_ring_1_r.z,finger_ring_2_r.x,finger_ring_2_r.y,finger_ring_2_r.z,finger_pinky_0_r.x,finger_pinky_0_r.y,finger_pinky_0_r.z,finger_pinky_1_r.x,finger_pinky_1_r.y,finger_pinky_1_r.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,
0.34, 1.73, 0.69,0.34, 1.73, 0.69,0.32, 1.71, 0.68,0.28, 1.69, 0.71,0.27, 1.70, 0.74,0.27, 1.73, 0.73,0.24, 1.72, 0.76,0.22, 1.72, 0.78,0.29, 1.73, 0.74,0.26, 1.74, 0.78,0.25, 1.73, 0.81,0.32, 1.73, 0.75,0.29, 1.73, 0.79,0.28, 1.72, 0.81,0.35, 1.73, 0.75,0.32, 1.72, 0.78,0.33, 1.68, 0.21,0.33, 1.68, 0.21,0.35, 1.67, 0.19,0.38, 1.65, 0.15,0.39, 1.64, 0.12,0.41, 1.68, 0.21,0.46, 1.68, 0.22,0.48, 1.68, 0.23,0.40, 1.68, 0.23,0.45, 1.68, 0.26,0.47, 1.68, 0.27,0.38, 1.68, 0.25,0.42, 1.68, 0.28,0.44, 1.68, 0.29,0.36, 1.68, 0.27,0.39, 1.68, 0.29,
0.35, 1.73, 0.69,0.35, 1.73, 0.69,0.32, 1.71, 0.68,0.28, 1.69, 0.71,0.28, 1.70, 0.74,0.28, 1.73, 0.73,0.25, 1.72, 0.76,0.23, 1.72, 0.78,0.30, 1.73, 0.74,0.27, 1.74, 0.78,0.25, 1.73, 0.81,0.33, 1.73, 0.75,0.30, 1.73, 0.79,0.29, 1.72, 0.81,0.35, 1.73, 0.75,0.33, 1.72, 0.78,0.33, 1.68, 0.21,0.33, 1.68, 0.21,0.35, 1.67, 0.19,0.38, 1.65, 0.15,0.39, 1.64, 0.12,0.41, 1.68, 0.21,0.46, 1.68, 0.22,0.48, 1.68, 0.23,0.40, 1.68, 0.23,0.45, 1.68, 0.26,0.47, 1.68, 0.27,0.38, 1.68, 0.25,0.42, 1.68, 0.28,0.44, 1.68, 0.29,0.36, 1.68, 0.27,0.39, 1.68, 0.29,
0.35, 1.73, 0.69,0.35, 1.73, 0.69,0.32, 1.71, 0.68,0.28, 1.69, 0.71,0.28, 1.70, 0.74,0.28, 1.73, 0.73,0.25, 1.72, 0.76,0.23, 1.72, 0.78,0.30, 1.73, 0.74,0.27, 1.74, 0.78,0.25, 1.73, 0.81,0.33, 1.73, 0.75,0.30, 1.73, 0.79,0.29, 1.72, 0.81,0.35, 1.73, 0.75,0.33, 1.72, 0.78,0.33, 1.68, 0.21,0.33, 1.68, 0.21,0.35, 1.67, 0.19,0.38, 1.65, 0.15,0.39, 1.64, 0.12,0.41, 1.68, 0.21,0.46, 1.68, 0.22,0.48, 1.68, 0.23,0.40, 1.68, 0.23,0.45, 1.68, 0.26,0.47, 1.68, 0.27,0.38, 1.68, 0.25,0.42, 1.68, 0.28,0.44, 1.68, 0.29,0.36, 1.68, 0.27,0.39, 1.68, 0.29,
0.35, 1.73, 0.69,0.35, 1.73, 0.69,0.32, 1.71, 0.68,0.28, 1.69, 0.71,0.28, 1.70, 0.74,0.28, 1.73, 0.73,0.25, 1.72, 0.76,0.23, 1.72, 0.78,0.30, 1.73, 0.74,0.27, 1.74, 0.78,0.25, 1.73, 0.81,0.33, 1.73, 0.75,0.30, 1.73, 0.79,0.29, 1.72, 0.81,0.35, 1.73, 0.75,0.33, 1.72, 0.78,0.33, 1.68, 0.21,0.33, 1.68, 0.21,0.35, 1.67, 0.19,0.38, 1.65, 0.15,0.39, 1.64, 0.12,0.41, 1.68, 0.21,0.46, 1.68, 0.22,0.48, 1.68, 0.23,0.40, 1.68, 0.23,0.45, 1.68, 0.26,0.47, 1.68, 0.27,0.38, 1.68, 0.25,0.42, 1.68, 0.28,0.44, 1.68, 0.29,0.36, 1.68, 0.27,0.39, 1.68, 0.29,
0.35, 1.73, 0.69,0.35, 1.73, 0.69,0.32, 1.71, 0.68,0.28, 1.69, 0.71,0.28, 1.70, 0.74,0.28, 1.73, 0.73,0.25, 1.72, 0.76,0.23, 1.72, 0.78,0.30, 1.73, 0.74,0.27, 1.74, 0.78,0.25, 1.73, 0.81,0.33, 1.73, 0.75,0.30, 1.73, 0.79,0.29, 1.72, 0.81,0.35, 1.73, 0.75,0.33, 1.72, 0.78,0.33, 1.68, 0.21,0.33, 1.68, 0.21,0.35, 1.67, 0.19,0.38, 1.65, 0.15,0.39, 1.64, 0.12,0.41, 1.68, 0.21,0.46, 1.68, 0.22,0.48, 1.68, 0.23,0.40, 1.68, 0.23,0.45, 1.68, 0.26,0.47, 1.68, 0.27,0.38, 1.68, 0.25,0.42, 1.68, 0.28,0.44, 1.68, 0.29,0.36, 1.68, 0.27,0.39, 1.68, 0.29,
0.35, 1.73, 0.69,0.35, 1.73, 0.69,0.32, 1.71, 0.68,0.28, 1.69, 0.71,0.28, 1.70, 0.74,0.28, 1.73, 0.73,0.25, 1.72, 0.76,0.23, 1.72, 0.78,0.30, 1.73, 0.74,0.27, 1.74, 0.78,0.25, 1.73, 0.81,0.33, 1.73, 0.75,0.30, 1.73, 0.79,0.29, 1.72, 0.81,0.35, 1.73, 0.75,0.33, 1.72, 0.78,0.33, 1.68, 0.21,0.33, 1.68, 0.21,0.35, 1.67, 0.19,0.38, 1.65, 0.15,0.39, 1.64, 0.12,0.41, 1.68, 0.21,0.46, 1.68, 0.22,0.48, 1.68, 0.23,0.40, 1.68, 0.23,0.45, 1.68, 0.26,0.47, 1.68, 0.27,0.38, 1.68, 0.25,0.42, 1.68, 0.28,0.44, 1.68, 0.29,0.36, 1.68, 0.27,0.39, 1.68, 0.29,
0.35, 1.73, 0.69,0.35, 1.73, 0.69,0.32, 1.71, 0.68,0.28, 1.69, 0.71,0.28, 1.70, 0.74,0.28, 1.73, 0.73,0.25, 1.72, 0.76,0.23, 1.72, 0.78,0.30, 1.73, 0.74,0.27, 1.74, 0.78,0.25, 1.73, 0.81,0.33, 1.73, 0.75,0.30, 1.73, 0.79,0.29, 1.72, 0.81,0.35, 1.73, 0.75,0.33, 1.72, 0.78,0.33, 1.68, 0.21,0.33, 1.68, 0.21,0.35, 1.67, 0.19,0.38, 1.65, 0.15,0.39, 1.64, 0.12,0.41, 1.68, 0.21,0.46, 1.68, 0.22,0.48, 1.68, 0.23,0.40, 1.68, 0.23,0.45, 1.68, 0.26,0.47, 1.68, 0.27,0.38, 1.68, 0.25,0.42, 1.68, 0.28,0.44, 1.68, 0.29,0.36, 1.68, 0.27,0.39, 1.68, 0.29,
0.35, 1.73, 0.69,0.35, 1.73, 0.69,0.32, 1.71, 0.68,0.28, 1.69, 0.71,0.28, 1.70, 0.74,0.28, 1.73, 0.73,0.25, 1.72, 0.76,0.23, 1.72, 0.78,0.30, 1.73, 0.74,0.27, 1.74, 0.78,0.25, 1.73, 0.81,0.33, 1.73, 0.75,0.30, 1.73, 0.79,0.29, 1.72, 0.81,0.35, 1.73, 0.75,0.33, 1.72, 0.78,0.33, 1.68, 0.21,0.33, 1.68, 0.21,0.35, 1.67, 0.19,0.38, 1.65, 0.15,0.39, 1.64, 0.12,0.41, 1.68, 0.21,0.46, 1.68, 0.22,0.48, 1.68, 0.23,0.40, 1.68, 0.23,0.45, 1.68, 0.26,0.47, 1.68, 0.27,0.38, 1.68, 0.25,0.42, 1.68, 0.28,0.44, 1.68, 0.29,0.36, 1.68, 0.27,0.39, 1.68, 0.29,
0.35, 1.73, 0.69,0.35, 1.73, 0.69,0.32, 1.71, 0.68,0.28, 1.69, 0.71,0.28, 1.70, 0.74,0.28, 1.73, 0.73,0.25, 1.72, 0.76,0.23, 1.72, 0.78,0.30, 1.73, 0.74,0.27, 1.74, 0.78,0.25, 1.73, 0.81,0.33, 1.73, 0.75,0.30, 1.73, 0.79,0.29, 1.72, 0.81,0.35, 1.73, 0.75,0.33, 1.72, 0.78,0.33, 1.68, 0.21,0.33, 1.68, 0.21,0.35, 1.67, 0.19,0.38, 1.65, 0.15,0.39, 1.64, 0.12,0.41, 1.68, 0.21,0.46, 1.68, 0.22,0.48, 1.68, 0.23,0.40, 1.68, 0.23,0.45, 1.68, 0.26,0.47, 1.68, 0.27,0.38, 1.68, 0.25,0.42, 1.68, 0.28,0.44, 1.68, 0.29,0.36, 1.68, 0.27,0.39, 1.68, 0.29,
0.36, 1.72, 0.69,0.36, 1.72, 0.69,0.33, 1.71, 0.68,0.29, 1.69, 0.71,0.29, 1.70, 0.74,0.28, 1.73, 0.73,0.25, 1.72, 0.76,0.24, 1.72, 0.78,0.31, 1.73, 0.74,0.28, 1.74, 0.78,0.26, 1.73, 0.81,0.33, 1.73, 0.75,0.31, 1.73, 0.79,0.29, 1.72, 0.81,0.36, 1.73, 0.75,0.34, 1.72, 0.78,0.33, 1.68, 0.21,0.33, 1.68, 0.21,0.35, 1.67, 0.19,0.38, 1.65, 0.15,0.39, 1.64, 0.12,0.41, 1.68, 0.21,0.46, 1.68, 0.22,0.48, 1.68, 0.23,0.40, 1.68, 0.23,0.45, 1.68, 0.26,0.47, 1.68, 0.27,0.38, 1.68, 0.25,0.42, 1.68, 0.28,0.44, 1.68, 0.29,0.36, 1.68, 0.26,0.39, 1.68, 0.29,
